LINK_ID,SPOT_ID
0,146
0,148
0,150
0,152
0,154
0,156
0,158
0,160
0,162
0,164
0,168
0,171
0,174
0,178
0,181
0,184
0,188
0,191
0,195
0,199
0,203
0,207
0,211
0,215
0,219
0,223
1,257
1,260
1,262
1,265
1,267
1,269
1,271
1,272
1,274
1,147
1,276
1,149
1,278
1,151
1,153
1,155
1,157
1,159
1,161
1,163
1,166
1,169
1,172
1,175
1,179
1,182
1,185
1,189
1,192
1,196
1,200
1,204
1,208
1,212
1,216
1,220
1,224
1,227
1,230
1,233
1,236
1,238
1,240
1,242
1,244
1,246
1,248
1,250
1,252
1,254
2,193
2,225
2,228
2,165
2,197
2,167
2,231
2,201
2,170
2,234
2,173
2,205
2,176
2,209
2,180
2,213
2,183
2,217
2,186
2,221
2,190
3,256
3,259
3,263
3,177
3,187
3,194
3,198
3,202
3,206
3,210
3,214
3,218
3,222
3,226
3,229
3,232
3,235
3,237
3,239
3,241
3,243
3,245
3,247
3,249
3,251
3,255
4,258
4,261
4,266
4,268
4,270
4,253
5,264
5,273
5,275
5,270
